timestamp,route,location,latitude,longitude,distance_km,network,signal_strength,latency_ms,packet_loss_percent,download_speed_mbps,upload_speed_mbps
2026-08-23T10:00:00,Delhi-Lucknow,Delhi,28.6139,77.209,0,Jio,81.31,52.58,2.99,37.74,13.65
2026-08-23T10:00:00,Delhi-Lucknow,Delhi,28.6139,77.209,0,Airtel,80.93,42.71,1.18,43.89,15.15
2026-08-23T10:00:00,Delhi-Lucknow,Delhi,28.6139,77.209,0,Vi,63.42,46.43,4.75,16.21,11.67
2026-08-23T10:30:00,Delhi-Lucknow,Ghaziabad,28.6692,77.4538,30,Jio,87.19,40.4,3.32,37.95,15.71
2026-08-23T10:30:00,Delhi-Lucknow,Ghaziabad,28.6692,77.4538,30,Airtel,94.49,39.76,0.93,43.23,14.98
2026-08-23T10:30:00,Delhi-Lucknow,Ghaziabad,28.6692,77.4538,30,Vi,77.1,71.28,4.53,23.25,5.27
2026-08-23T11:00:00,Delhi-Lucknow,Hapur,28.7306,77.7759,70,Jio,91.8,40.56,2.71,37.36,10.06
2026-08-23T11:00:00,Delhi-Lucknow,Hapur,28.7306,77.7759,70,Airtel,81.58,37.72,1.34,49.52,15.89
2026-08-23T11:00:00,Delhi-Lucknow,Hapur,28.7306,77.7759,70,Vi,59.65,64.93,3.52,26.97,9.14
2026-08-23T11:30:00,Delhi-Lucknow,Moradabad,28.8386,78.7733,160,Jio,91.01,31.0,2.37,43.38,14.38
2026-08-23T11:30:00,Delhi-Lucknow,Moradabad,28.8386,78.7733,160,Airtel,94.34,29.48,1.59,50.95,11.57
2026-08-23T11:30:00,Delhi-Lucknow,Moradabad,28.8386,78.7733,160,Vi,62.87,64.61,2.66,19.49,10.23
2026-08-23T12:00:00,Delhi-Lucknow,Bareilly,28.367,79.4304,250,Jio,89.89,42.5,2.81,34.62,12.91
2026-08-23T12:00:00,Delhi-Lucknow,Bareilly,28.367,79.4304,250,Airtel,75.29,39.03,2.92,35.91,10.91
2026-08-23T12:00:00,Delhi-Lucknow,Bareilly,28.367,79.4304,250,Vi,65.8,65.94,3.26,33.42,7.6
2026-08-23T12:30:00,Delhi-Lucknow,Shahjahanpur,27.8837,79.912,330,Jio,71.96,41.86,2.38,38.34,15.88
2026-08-23T12:30:00,Delhi-Lucknow,Shahjahanpur,27.8837,79.912,330,Airtel,90.53,52.02,1.55,49.6,16.65
2026-08-23T12:30:00,Delhi-Lucknow,Shahjahanpur,27.8837,79.912,330,Vi,60.28,72.71,4.57,17.59,4.31
2026-08-23T13:00:00,Delhi-Lucknow,Lucknow,26.8467,80.9462,500,Jio,93.56,37.34,2.36,40.36,14.88
2026-08-23T13:00:00,Delhi-Lucknow,Lucknow,26.8467,80.9462,500,Airtel,94.39,26.83,2.57,45.01,14.15
2026-08-23T13:00:00,Delhi-Lucknow,Lucknow,26.8467,80.9462,500,Vi,71.84,69.68,3.97,21.1,6.35
